Team1,Team1Score,Team2,Team2Score
Memphis Grizzlies,102,Detroit Pistons,104
Toronto Raptors,119,Washington Wizards,122
Milwaukee Bucks,89,Minnesota Timberwolves,108
Houston Rockets,102,San Antonio Spurs,91
Oklahoma City Thunder,124,Denver Nuggets,127
Indiana Pacers,126,Charlotte Hornets,133
Atlanta Hawks,110,Boston Celtics,119
Los Angeles Lakers,102,Brooklyn Nets,99
Portland Trail Blazers,105,Toronto Raptors,130
New York Knicks,90,Milwaukee Bucks,92
Miami Heat,97,Philadelphia 76ers,103
New Orleans Pelicans,114,Oklahoma City Thunder,100
Utah Jazz,129,Phoenix Suns,97
Golden State Warriors,119,Sacramento Kings,104
Chicago Bulls,103,Los Angeles Clippers,113
Miami Heat,107,Detroit Pistons,111
Philadelphia 76ers,92,Indiana Pacers,100
Washington Wizards,115,Orlando Magic,98
Houston Rockets,120,Cleveland Cavaliers,88
Golden State Warriors,108,Denver Nuggets,115
New Orleans Pelicans,107,Minnesota Timberwolves,118
Utah Jazz,120,San Antonio Spurs,111
Dallas Mavericks,106,Sacramento Kings,99
Portland Trail Blazers,96,Boston Celtics,97
Milwaukee Bucks,109,Brooklyn Nets,94
Atlanta Hawks,99,New York Knicks,96
Memphis Grizzlies,86,Toronto Raptors,101
Los Angeles Lakers,108,Oklahoma City Thunder,104
Charlotte Hornets,115,Phoenix Suns,110
Portland Trail Blazers,91,Detroit Pistons,111
Washington Wizards,111,Indiana Pacers,102
Orlando Magic,111,Miami Heat,109
Utah Jazz,133,New Orleans Pelicans,109
Charlotte Hornets,104,Denver Nuggets,121
Chicago Bulls,98,Sacramento Kings,104
Dallas Mavericks,101,Los Angeles Clippers,104
Cleveland Cavaliers,98,Orlando Magic,116
Memphis Grizzlies,82,Atlanta Hawks,108
Houston Rockets,123,Brooklyn Nets,113
Milwaukee Bucks,103,New York Knicks,89
Boston Celtics,91,Toronto Raptors,111
Washington Wizards,102,Philadelphia 76ers,115
Oklahoma City Thunder,125,Golden State Warriors,105
Phoenix Suns,93,Los Angeles Lakers,112
Brooklyn Nets,106,Detroit Pistons,115
Houston Rockets,109,Miami Heat,101
Minnesota Timberwolves,138,Cleveland Cavaliers,140
Utah Jazz,92,Memphis Grizzlies,88
San Antonio Spurs,129,Phoenix Suns,81
Atlanta Hawks,98,Orlando Magic,100
New York Knicks,88,Toronto Raptors,113
Boston Celtics,110,Washington Wizards,104
Charlotte Hornets,103,Portland Trail Blazers,109
Dallas Mavericks,103,Golden State Warriors,121
Oklahoma City Thunder,81,Los Angeles Lakers,106
Los Angeles Clippers,108,Detroit Pistons,95
New Orleans Pelicans,82,Philadelphia 76ers,100
Cleveland Cavaliers,123,Atlanta Hawks,107
Indiana Pacers,97,Boston Celtics,91
Denver Nuggets,104,Houston Rockets,130
Milwaukee Bucks,85,Miami Heat,91
Charlotte Hornets,94,Utah Jazz,106
Minnesota Timberwolves,113,Chicago Bulls,114
Portland Trail Blazers,118,Sacramento Kings,100
New Orleans Pelicans,138,Brooklyn Nets,128
Milwaukee Bucks,111,Orlando Magic,104
Los Angeles Clippers,98,Philadelphia 76ers,112
Washington Wizards,101,Chicago Bulls,90
Los Angeles Lakers,123,Dallas Mavericks,130
San Antonio Spurs,105,Golden State Warriors,122
Denver Nuggets,123,Phoenix Suns,113
Toronto Raptors,123,Charlotte Hornets,103
Detroit Pistons,115,Atlanta Hawks,118
Cleveland Cavaliers,121,Boston Celtics,99
New York Knicks,113,Indiana Pacers,121
Dallas Mavericks,97,Houston Rockets,104
Sacramento Kings,106,Minnesota Timberwolves,111
Memphis Grizzlies,92,Oklahoma City Thunder,110
Utah Jazz,115,Portland Trail Blazers,96
New Orleans Pelicans,118,Detroit Pistons,103
New York Knicks,92,Philadelphia 76ers,108
Los Angeles Clippers,114,Brooklyn Nets,101
Orlando Magic,101,Chicago Bulls,105
San Antonio Spurs,99,Utah Jazz,101
Phoenix Suns,83,Golden State Warriors,129
Miami Heat,112,Toronto Raptors,115
Atlanta Hawks,92,Milwaukee Bucks,97
Houston Rockets,126,Minnesota Timberwolves,108
Cleveland Cavaliers,120,Oklahoma City Thunder,112
Sacramento Kings,114,Dallas Mavericks,109
San Antonio Spurs,109,Denver Nuggets,117
Atlanta Hawks,98,Detroit Pistons,104
Charlotte Hornets,104,Orlando Magic,102
Miami Heat,102,Philadelphia 76ers,104
Indiana Pacers,108,Brooklyn Nets,103
Washington Wizards,118,New York Knicks,113
Los Angeles Clippers,129,Boston Celtics,119
Toronto Raptors,122,Chicago Bulls,98
Sacramento Kings,91,Houston Rockets,100
Oklahoma City Thunder,121,Memphis Grizzlies,114
Los Angeles Lakers,117,New Orleans Pelicans,139
Phoenix Suns,97,Utah Jazz,107
Golden State Warriors,117,Portland Trail Blazers,123
Denver Nuggets,134,Milwaukee Bucks,123
Los Angeles Lakers,111,Minnesota Timberwolves,119
Brooklyn Nets,96,Charlotte Hornets,111
New York Knicks,120,Orlando Magic,113
Philadelphia 76ers,116,Chicago Bulls,115
Washington Wizards,110,Cleveland Cavaliers,103
Oklahoma City Thunder,110,Sacramento Kings,107
Los Angeles Clippers,127,Golden State Warriors,134
Boston Celtics,110,Detroit Pistons,98
Atlanta Hawks,93,Indiana Pacers,116
Charlotte Hornets,122,Washington Wizards,105
Milwaukee Bucks,122,Toronto Raptors,119
Minnesota Timberwolves,102,Houston Rockets,120
Cleveland Cavaliers,112,Memphis Grizzlies,89
Miami Heat,123,New Orleans Pelicans,124
San Antonio Spurs,119,Denver Nuggets,122
Los Angeles Clippers,128,Phoenix Suns,117
Portland Trail Blazers,100,Utah Jazz,81
Dallas Mavericks,102,Los Angeles Lakers,124
Orlando Magic,105,Philadelphia 76ers,116
Memphis Grizzlies,89,Miami Heat,115
Boston Celtics,121,New York Knicks,112
Oklahoma City Thunder,80,Golden State Warriors,112
Chicago Bulls,104,Minnesota Timberwolves,122
Portland Trail Blazers,106,Phoenix Suns,104
Dallas Mavericks,90,Utah Jazz,97
Los Angeles Lakers,113,Sacramento Kings,108
Detroit Pistons,98,Charlotte Hornets,114
New Orleans Pelicans,123,Milwaukee Bucks,121
San Antonio Spurs,110,Cleveland Cavaliers,94
Houston Rockets,119,Denver Nuggets,114
Philadelphia 76ers,94,Washington Wizards,109
Los Angeles Lakers,123,Atlanta Hawks,104
Memphis Grizzlies,98,Boston Celtics,109
Chicago Bulls,87,Brooklyn Nets,104
Golden State Warriors,125,New York Knicks,111
Detroit Pistons,94,Toronto Raptors,123
Phoenix Suns,116,New Orleans Pelicans,125
Orlando Magic,105,Oklahoma City Thunder,112
Indiana Pacers,103,Dallas Mavericks,109
Houston Rockets,96,Utah Jazz,85
Minnesota Timberwolves,118,Sacramento Kings,100
Chicago Bulls,103,Charlotte Hornets,118
Brooklyn Nets,123,Cleveland Cavaliers,129
Philadelphia 76ers,101,Miami Heat,102
Washington Wizards,107,Milwaukee Bucks,104
Sacramento Kings,99,Portland Trail Blazers,116
Los Angeles Clippers,122,Denver Nuggets,120
Milwaukee Bucks,87,Detroit Pistons,110
Toronto Raptors,117,Orlando Magic,104
Indiana Pacers,102,Atlanta Hawks,107
Charlotte Hornets,106,Boston Celtics,134
Phoenix Suns,110,Memphis Grizzlies,102
Golden State Warriors,109,Washington Wizards,101
Oklahoma City Thunder,111,Dallas Mavericks,110
New Orleans Pelicans,121,San Antonio Spurs,116
Houston Rockets,105,Los Angeles Clippers,92
