Team1,Team1Score,Team2,Team2Score
Golden State Warriors,133,Orlando Magic,112
Detroit Pistons,91,Washington Wizards,109
Indiana Pacers,115,Toronto Raptors,120
Sacramento Kings,107,Chicago Bulls,106
San Antonio Spurs,95,Memphis Grizzlies,79
Charlotte Hornets,100,Miami Heat,105
Minnesota Timberwolves,107,Oklahoma City Thunder,111
New Orleans Pelicans,108,Utah Jazz,114
Phoenix Suns,111,Boston Celtics,116
Los Angeles Clippers,82,Dallas Mavericks,108
Atlanta Hawks,114,Brooklyn Nets,102
Memphis Grizzlies,111,Cleveland Cavaliers,116
Detroit Pistons,103,Philadelphia 76ers,108
Sacramento Kings,104,Milwaukee Bucks,109
Los Angeles Lakers,100,Denver Nuggets,115
New Orleans Pelicans,123,Portland Trail Blazers,116
Orlando Magic,105,New York Knicks,100
Golden State Warriors,123,Miami Heat,95
Los Angeles Clippers,106,Minnesota Timberwolves,112
San Antonio Spurs,87,Oklahoma City Thunder,90
Houston Rockets,118,Los Angeles Lakers,95
Orlando Magic,94,Charlotte Hornets,104
New York Knicks,97,Indiana Pacers,115
Phoenix Suns,115,Philadelphia 76ers,101
Brooklyn Nets,110,Atlanta Hawks,90
Milwaukee Bucks,100,Boston Celtics,111
Cleveland Cavaliers,113,Chicago Bulls,91
Minnesota Timberwolves,92,Memphis Grizzlies,95
Golden State Warriors,125,New Orleans Pelicans,115
Denver Nuggets,105,Dallas Mavericks,122
Detroit Pistons,93,San Antonio Spurs,96
Washington Wizards,69,Utah Jazz,116
Phoenix Suns,113,Toronto Raptors,126
Utah Jazz,94,Oklahoma City Thunder,100
Washington Wizards,106,Portland Trail Blazers,92
Sacramento Kings,95,Cleveland Cavaliers,101
Chicago Bulls,96,Indiana Pacers,98
Atlanta Hawks,106,Orlando Magic,110
Dallas Mavericks,90,Boston Celtics,97
Memphis Grizzlies,88,New York Knicks,99
Golden State Warriors,101,Charlotte Hornets,87
Detroit Pistons,100,Milwaukee Bucks,104
Denver Nuggets,114,New Orleans Pelicans,123
Miami Heat,105,San Antonio Spurs,117
Minnesota Timberwolves,113,Los Angeles Clippers,107
Los Angeles Lakers,107,Philadelphia 76ers,104
Washington Wizards,109,Phoenix Suns,99
Oklahoma City Thunder,95,Brooklyn Nets,100
Houston Rockets,112,Utah Jazz,101
Chicago Bulls,119,Charlotte Hornets,111
Golden State Warriors,102,Detroit Pistons,98
Cleveland Cavaliers,102,Indiana Pacers,106
Denver Nuggets,103,Orlando Magic,89
Toronto Raptors,116,Memphis Grizzlies,107
Dallas Mavericks,102,Milwaukee Bucks,109
Sacramento Kings,116,New Orleans Pelicans,109
Boston Celtics,102,San Antonio Spurs,105
Washington Wizards,112,Los Angeles Clippers,113
Miami Heat,101,Brooklyn Nets,89
Los Angeles Lakers,110,Charlotte Hornets,99
Orlando Magic,110,Atlanta Hawks,117
New York Knicks,102,Chicago Bulls,104
Philadelphia 76ers,98,Cleveland Cavaliers,105
Utah Jazz,100,Milwaukee Bucks,117
Oklahoma City Thunder,102,Memphis Grizzlies,101
San Antonio Spurs,104,Phoenix Suns,101
Houston Rockets,124,Portland Trail Blazers,117
Toronto Raptors,102,Sacramento Kings,87
Boston Celtics,91,Detroit Pistons,81
Denver Nuggets,116,Indiana Pacers,126
Dallas Mavericks,92,Minnesota Timberwolves,97
Philadelphia 76ers,124,New Orleans Pelicans,131
Atlanta Hawks,107,New York Knicks,111
Boston Celtics,85,Chicago Bulls,108
New Orleans Pelicans,123,Houston Rockets,130
Miami Heat,107,Memphis Grizzlies,82
Charlotte Hornets,116,Oklahoma City Thunder,103
Portland Trail Blazers,104,Golden State Warriors,111
Toronto Raptors,91,Los Angeles Clippers,96
Atlanta Hawks,114,Cleveland Cavaliers,123
Denver Nuggets,103,Detroit Pistons,84
Los Angeles Lakers,109,New York Knicks,113
Washington Wizards,98,Brooklyn Nets,103
San Antonio Spurs,89,Dallas Mavericks,95
Philadelphia 76ers,118,Minnesota Timberwolves,112
Phoenix Suns,92,Sacramento Kings,99
Oklahoma City Thunder,100,Indiana Pacers,95
Los Angeles Clippers,106,Orlando Magic,95
Memphis Grizzlies,87,Washington Wizards,93
Denver Nuggets,118,Boston Celtics,124
Portland Trail Blazers,102,Miami Heat,95
Utah Jazz,100,Chicago Bulls,103
Milwaukee Bucks,108,New Orleans Pelicans,115
Toronto Raptors,115,Phoenix Suns,109
Charlotte Hornets,96,Houston Rockets,108
Detroit Pistons,105,Atlanta Hawks,91
New York Knicks,111,Brooklyn Nets,104
Los Angeles Lakers,112,Cleveland Cavaliers,121
Sacramento Kings,96,Minnesota Timberwolves,119
Dallas Mavericks,97,Golden State Warriors,112
Miami Heat,104,Charlotte Hornets,98
Detroit Pistons,104,Indiana Pacers,98
Portland Trail Blazers,95,Orlando Magic,88
Oklahoma City Thunder,119,Philadelphia 76ers,117
Los Angeles Clippers,91,Washington Wizards,100
Utah Jazz,107,Boston Celtics,95
Brooklyn Nets,87,Toronto Raptors,120
Atlanta Hawks,94,Memphis Grizzlies,96
Chicago Bulls,115,Milwaukee Bucks,109
New Orleans Pelicans,111,Denver Nuggets,117
San Antonio Spurs,109,Houston Rockets,124
Portland Trail Blazers,93,Charlotte Hornets,91
Utah Jazz,100,Cleveland Cavaliers,109
Oklahoma City Thunder,96,New York Knicks,111
Milwaukee Bucks,111,Houston Rockets,115
Los Angeles Clippers,85,Miami Heat,90
Phoenix Suns,108,Minnesota Timberwolves,106
Dallas Mavericks,96,San Antonio Spurs,98
Boston Celtics,102,Memphis Grizzlies,93
Sacramento Kings,93,Toronto Raptors,108
Orlando Magic,110,Detroit Pistons,114
Indiana Pacers,109,Brooklyn Nets,97
Cleveland Cavaliers,106,Washington Wizards,99
New York Knicks,91,Charlotte Hornets,109
Boston Celtics,112,Indiana Pacers,111
Miami Heat,104,Atlanta Hawks,110
Philadelphia 76ers,115,Chicago Bulls,117
Utah Jazz,99,Houston Rockets,120
Portland Trail Blazers,107,Minnesota Timberwolves,108
Denver Nuggets,94,Oklahoma City Thunder,95
Phoenix Suns,97,Dallas Mavericks,91
Los Angeles Clippers,91,San Antonio Spurs,109
Golden State Warriors,116,Los Angeles Lakers,114
Sacramento Kings,101,Philadelphia 76ers,95
New Orleans Pelicans,106,Washington Wizards,116
Cleveland Cavaliers,116,Milwaukee Bucks,119
Toronto Raptors,129,Charlotte Hornets,111
Indiana Pacers,105,Atlanta Hawks,95
Miami Heat,90,Boston Celtics,89
Sacramento Kings,104,Brooklyn Nets,99
Orlando Magic,94,Chicago Bulls,112
Los Angeles Lakers,122,Houston Rockets,116
Utah Jazz,79,Oklahoma City Thunder,107
Detroit Pistons,93,Dallas Mavericks,110
Minnesota Timberwolves,112,Denver Nuggets,104
San Antonio Spurs,93,Portland Trail Blazers,91
Memphis Grizzlies,84,Golden State Warriors,97
Phoenix Suns,95,Los Angeles Clippers,108
Chicago Bulls,112,Cleveland Cavaliers,115
Toronto Raptors,114,Philadelphia 76ers,109
Boston Celtics,93,New York Knicks,102
Memphis Grizzlies,95,Phoenix Suns,97
San Antonio Spurs,89,Utah Jazz,100
New York Knicks,101,Detroit Pistons,104
New Orleans Pelicans,111,Orlando Magic,97
Washington Wizards,84,Brooklyn Nets,119
Los Angeles Clippers,128,Houston Rockets,118
Dallas Mavericks,101,Miami Heat,113
Charlotte Hornets,104,Milwaukee Bucks,109
Atlanta Hawks,117,Oklahoma City Thunder,120
Denver Nuggets,102,Portland Trail Blazers,85
Los Angeles Lakers,106,Golden State Warriors,113
Philadelphia 76ers,86,Toronto Raptors,102
Milwaukee Bucks,106,Charlotte Hornets,111
Brooklyn Nets,119,Indiana Pacers,123
Orlando Magic,103,Washington Wizards,130
Dallas Mavericks,107,Atlanta Hawks,112
Chicago Bulls,92,Boston Celtics,117
Los Angeles Clippers,112,Memphis Grizzlies,115
New Orleans Pelicans,109,Miami Heat,94
Oklahoma City Thunder,103,Utah Jazz,89
Denver Nuggets,96,Golden State Warriors,81
Minnesota Timberwolves,115,Phoenix Suns,106
Portland Trail Blazers,95,Los Angeles Lakers,92
San Antonio Spurs,108,Sacramento Kings,99
Philadelphia 76ers,105,New York Knicks,98
Cleveland Cavaliers,92,Golden State Warriors,99
Washington Wizards,111,Boston Celtics,103
Houston Rockets,107,Oklahoma City Thunder,112
Minnesota Timberwolves,121,Los Angeles Lakers,104
Toronto Raptors,93,Dallas Mavericks,98
Indiana Pacers,83,Detroit Pistons,107
Orlando Magic,89,Miami Heat,107
Chicago Bulls,115,Milwaukee Bucks,106
Brooklyn Nets,97,San Antonio Spurs,109
Utah Jazz,83,Denver Nuggets,107
Memphis Grizzlies,97,Phoenix Suns,99
Sacramento Kings,95,Los Angeles Clippers,122
Boston Celtics,102,Charlotte Hornets,91
Dallas Mavericks,98,Indiana Pacers,94
Washington Wizards,99,Atlanta Hawks,113
New York Knicks,87,Chicago Bulls,92
Denver Nuggets,125,Minnesota Timberwolves,128
Brooklyn Nets,113,New Orleans Pelicans,128
Toronto Raptors,107,Oklahoma City Thunder,124
Cleveland Cavaliers,95,Sacramento Kings,109
Utah Jazz,101,Golden State Warriors,126
Memphis Grizzlies,109,Los Angeles Lakers,99
Detroit Pistons,89,Orlando Magic,102
Houston Rockets,98,Boston Celtics,99
Minnesota Timberwolves,96,Milwaukee Bucks,102
New York Knicks,107,San Antonio Spurs,119
Philadelphia 76ers,110,Portland Trail Blazers,114
Houston Rockets,103,Washington Wizards,121
Atlanta Hawks,98,Toronto Raptors,111
Indiana Pacers,107,Chicago Bulls,119
Brooklyn Nets,111,Miami Heat,87
Dallas Mavericks,128,New Orleans Pelicans,120
Milwaukee Bucks,97,Oklahoma City Thunder,95
Phoenix Suns,111,Sacramento Kings,101
Charlotte Hornets,111,Golden State Warriors,100
Los Angeles Clippers,121,Los Angeles Lakers,106
San Antonio Spurs,79,Detroit Pistons,93
New York Knicks,105,New Orleans Pelicans,103
Miami Heat,117,Orlando Magic,111
Portland Trail Blazers,89,Atlanta Hawks,104
Cleveland Cavaliers,101,Utah Jazz,104
Memphis Grizzlies,128,Golden State Warriors,141
Philadelphia 76ers,107,Denver Nuggets,102
Chicago Bulls,110,Washington Wizards,114
Minnesota Timberwolves,107,Indiana Pacers,90
Brooklyn Nets,105,Boston Celtics,108
Los Angeles Lakers,142,Houston Rockets,148
Charlotte Hornets,98,Los Angeles Clippers,106
Dallas Mavericks,116,Oklahoma City Thunder,113
Memphis Grizzlies,114,Sacramento Kings,96
Philadelphia 76ers,123,Phoenix Suns,110
