Team1,Team1Score,Team2,Team2Score
Los Angeles Lakers,131,Miami Heat,113
Philadelphia 76ers,108,Cleveland Cavaliers,97
Brooklyn Nets,111,Sacramento Kings,116
Minnesota Timberwolves,99,Portland Trail Blazers,108
Detroit Pistons,106,Orlando Magic,115
Charlotte Hornets,99,Philadelphia 76ers,110
Golden State Warriors,114,Atlanta Hawks,109
Dallas Mavericks,100,Chicago Bulls,108
Denver Nuggets,108,Memphis Grizzlies,102
Indiana Pacers,103,Milwaukee Bucks,96
Toronto Raptors,102,Washington Wizards,95
Oklahoma City Thunder,124,Phoenix Suns,116
New York Knicks,105,Los Angeles Clippers,128
Minnesota Timberwolves,108,Utah Jazz,116
Memphis Grizzlies,100,Orlando Magic,107
Denver Nuggets,126,Cleveland Cavaliers,117
Detroit Pistons,96,Miami Heat,105
Boston Celtics,120,Houston Rockets,123
Los Angeles Lakers,116,San Antonio Spurs,112
Oklahoma City Thunder,100,Portland Trail Blazers,108
Utah Jazz,98,Sacramento Kings,91
Phoenix Suns,112,Atlanta Hawks,113
Charlotte Hornets,98,Toronto Raptors,103
Indiana Pacers,98,Washington Wizards,95
New Orleans Pelicans,126,Dallas Mavericks,109
Philadelphia 76ers,110,Milwaukee Bucks,118
Brooklyn Nets,120,Los Angeles Clippers,123
New York Knicks,99,Sacramento Kings,102
Detroit Pistons,90,Cleveland Cavaliers,112
Milwaukee Bucks,89,Indiana Pacers,92
Phoenix Suns,103,Miami Heat,125
Boston Celtics,105,Chicago Bulls,89
Memphis Grizzlies,98,San Antonio Spurs,100
Orlando Magic,80,Utah Jazz,94
Portland Trail Blazers,108,Los Angeles Lakers,103
Philadelphia 76ers,128,Charlotte Hornets,114
Atlanta Hawks,90,Toronto Raptors,106
Miami Heat,113,Washington Wizards,117
Houston Rockets,122,Oklahoma City Thunder,112
Denver Nuggets,107,Dallas Mavericks,118
New York Knicks,87,Portland Trail Blazers,111
Brooklyn Nets,101,Golden State Warriors,114
New Orleans Pelicans,121,Los Angeles Clippers,116
Utah Jazz,104,Indiana Pacers,84
Memphis Grizzlies,110,Chicago Bulls,119
Toronto Raptors,121,Detroit Pistons,119
Houston Rockets,110,Milwaukee Bucks,99
New Orleans Pelicans,114,Sacramento Kings,101
Cleveland Cavaliers,113,Denver Nuggets,108
Orlando Magic,107,Los Angeles Lakers,108
Brooklyn Nets,125,Charlotte Hornets,111
Philadelphia 76ers,99,Miami Heat,108
Boston Celtics,117,Minnesota Timberwolves,109
Phoenix Suns,87,Oklahoma City Thunder,115
San Antonio Spurs,107,Golden State Warriors,110
Chicago Bulls,83,Detroit Pistons,99
Atlanta Hawks,87,Indiana Pacers,112
Houston Rockets,105,Toronto Raptors,108
Utah Jazz,95,Memphis Grizzlies,78
New York Knicks,112,Milwaukee Bucks,120
Washington Wizards,116,New Orleans Pelicans,97
