Team1,Team1Score,Team2,Team2Score
Philadelphia 76ers,119,Charlotte Hornets,102
Washington Wizards,94,Chicago Bulls,113
Indiana Pacers,111,Los Angeles Clippers,104
Houston Rockets,83,San Antonio Spurs,100
Orlando Magic,88,Atlanta Hawks,94
Detroit Pistons,108,Brooklyn Nets,96
Dallas Mavericks,87,Cleveland Cavaliers,98
Oklahoma City Thunder,109,New Orleans Pelicans,104
Utah Jazz,121,Minnesota Timberwolves,97
Milwaukee Bucks,125,Denver Nuggets,128
Phoenix Suns,107,Golden State Warriors,117
Memphis Grizzlies,98,Portland Trail Blazers,113
Sacramento Kings,84,Los Angeles Lakers,83
Toronto Raptors,106,Cleveland Cavaliers,112
Brooklyn Nets,95,Philadelphia 76ers,121
Atlanta Hawks,98,Miami Heat,101
Orlando Magic,97,New York Knicks,73
Charlotte Hornets,114,Chicago Bulls,120
Washington Wizards,104,Houston Rockets,120
Boston Celtics,102,Milwaukee Bucks,106
Golden State Warriors,111,Oklahoma City Thunder,107
Portland Trail Blazers,109,Dallas Mavericks,115
Indiana Pacers,104,Denver Nuggets,107
Los Angeles Lakers,110,Utah Jazz,117
Sacramento Kings,94,Phoenix Suns,97
San Antonio Spurs,110,Los Angeles Clippers,113
Philadelphia 76ers,115,Detroit Pistons,108
Dallas Mavericks,100,Orlando Magic,105
Miami Heat,115,Atlanta Hawks,86
Memphis Grizzlies,95,New Orleans Pelicans,123
Boston Celtics,78,Toronto Raptors,96
San Antonio Spurs,112,Los Angeles Lakers,122
Golden State Warriors,106,Indiana Pacers,126
Washington Wizards,115,Cleveland Cavaliers,119
Portland Trail Blazers,94,Houston Rockets,96
Brooklyn Nets,119,Milwaukee Bucks,111
Los Angeles Clippers,95,Utah Jazz,117
Minnesota Timberwolves,96,Denver Nuggets,100
Dallas Mavericks,106,Detroit Pistons,113
Charlotte Hornets,137,Orlando Magic,100
Cleveland Cavaliers,130,Philadelphia 76ers,132
Atlanta Hawks,103,Washington Wizards,97
Chicago Bulls,104,Boston Celtics,111
Miami Heat,98,New York Knicks,122
Indiana Pacers,73,Toronto Raptors,92
Sacramento Kings,94,Memphis Grizzlies,93
New Orleans Pelicans,122,Phoenix Suns,103
Minnesota Timberwolves,113,Los Angeles Lakers,96
Denver Nuggets,134,Los Angeles Clippers,115
Milwaukee Bucks,115,New York Knicks,102
Brooklyn Nets,124,Chicago Bulls,96
New Orleans Pelicans,126,Golden State Warriors,120
Oklahoma City Thunder,108,Houston Rockets,102
Portland Trail Blazers,105,San Antonio Spurs,116
Atlanta Hawks,112,Boston Celtics,106
Indiana Pacers,123,Charlotte Hornets,117
Dallas Mavericks,97,Philadelphia 76ers,109
Detroit Pistons,117,Memphis Grizzlies,130
Utah Jazz,112,Los Angeles Lakers,97
Orlando Magic,101,Toronto Raptors,112
Golden State Warriors,117,Phoenix Suns,100
Toronto Raptors,108,Detroit Pistons,98
Chicago Bulls,105,Brooklyn Nets,114
Oklahoma City Thunder,115,Miami Heat,93
Cleveland Cavaliers,123,New York Knicks,109
Orlando Magic,86,Milwaukee Bucks,102
Memphis Grizzlies,94,Minnesota Timberwolves,113
Sacramento Kings,85,San Antonio Spurs,98
Portland Trail Blazers,82,Denver Nuggets,88
New Orleans Pelicans,113,Los Angeles Clippers,100
Charlotte Hornets,119,Indiana Pacers,93
Philadelphia 76ers,121,Atlanta Hawks,113
Boston Celtics,101,Washington Wizards,113
Phoenix Suns,124,Dallas Mavericks,97
Golden State Warriors,79,Utah Jazz,119
Houston Rockets,105,Los Angeles Lakers,99
Brooklyn Nets,97,Boston Celtics,110
Detroit Pistons,119,Chicago Bulls,87
New York Knicks,110,Cleveland Cavaliers,98
Toronto Raptors,109,Miami Heat,116
Denver Nuggets,106,Minnesota Timberwolves,112
San Antonio Spurs,98,New Orleans Pelicans,122
Memphis Grizzlies,123,Oklahoma City Thunder,137
Washington Wizards,92,Orlando Magic,101
Milwaukee Bucks,95,Philadelphia 76ers,130
Los Angeles Lakers,115,Los Angeles Clippers,100
Utah Jazz,93,Portland Trail Blazers,102
Houston Rockets,83,Sacramento Kings,96
San Antonio Spurs,92,Golden State Warriors,113
Washington Wizards,106,Toronto Raptors,114
