Team1,Team1Score,Team2,Team2Score
Milwaukee Bucks,121,Charlotte Hornets,126
Indiana Pacers,124,Cleveland Cavaliers,107
Atlanta Hawks,109,Philadelphia 76ers,119
Phoenix Suns,122,Washington Wizards,116
Sacramento Kings,86,Boston Celtics,113
Chicago Bulls,91,Miami Heat,97
Orlando Magic,101,Memphis Grizzlies,99
Minnesota Timberwolves,104,New Orleans Pelicans,98
Houston Rockets,119,New York Knicks,97
Toronto Raptors,111,Denver Nuggets,129
Portland Trail Blazers,103,Utah Jazz,112
Dallas Mavericks,98,Los Angeles Clippers,119
Golden State Warriors,112,San Antonio Spurs,92
Los Angeles Lakers,110,Portland Trail Blazers,113
Milwaukee Bucks,96,Detroit Pistons,105
Chicago Bulls,105,Orlando Magic,83
Indiana Pacers,110,Philadelphia 76ers,121
Cleveland Cavaliers,130,Washington Wizards,122
Houston Rockets,119,Atlanta Hawks,104
Phoenix Suns,107,New York Knicks,120
New Orleans Pelicans,99,Dallas Mavericks,94
Charlotte Hornets,101,San Antonio Spurs,108
Miami Heat,94,Denver Nuggets,95
Toronto Raptors,109,Utah Jazz,100
Boston Celtics,101,Oklahoma City Thunder,94
Brooklyn Nets,112,Los Angeles Lakers,124
Memphis Grizzlies,113,Los Angeles Clippers,104
Sacramento Kings,99,Detroit Pistons,108
New Orleans Pelicans,96,Chicago Bulls,90
Dallas Mavericks,99,Minnesota Timberwolves,112
Golden State Warriors,127,Denver Nuggets,108
Atlanta Hawks,117,Cleveland Cavaliers,115
Miami Heat,104,Los Angeles Clippers,101
Boston Celtics,104,Orlando Magic,88
Washington Wizards,107,Toronto Raptors,96
Utah Jazz,110,Houston Rockets,137
Phoenix Suns,95,San Antonio Spurs,112
Indiana Pacers,101,New York Knicks,108
Charlotte Hornets,94,Minnesota Timberwolves,112
Oklahoma City Thunder,99,Portland Trail Blazers,103
Memphis Grizzlies,102,Los Angeles Lakers,107
Boston Celtics,110,Atlanta Hawks,107
Brooklyn Nets,98,Phoenix Suns,92
Miami Heat,80,Golden State Warriors,97
Milwaukee Bucks,119,Cleveland Cavaliers,124
New Orleans Pelicans,117,Indiana Pacers,112
Dallas Mavericks,113,Washington Wizards,99
Charlotte Hornets,113,New York Knicks,118
Chicago Bulls,114,Toronto Raptors,119
Los Angeles Clippers,107,San Antonio Spurs,120
Brooklyn Nets,104,Denver Nuggets,112
Philadelphia 76ers,104,Utah Jazz,97
Memphis Grizzlies,98,Portland Trail Blazers,97
Oklahoma City Thunder,86,Sacramento Kings,94
Indiana Pacers,97,Detroit Pistons,114
New York Knicks,99,Orlando Magic,112
Los Angeles Lakers,96,Boston Celtics,107
Miami Heat,126,Phoenix Suns,115
Minnesota Timberwolves,101,Golden State Warriors,125
Los Angeles Lakers,95,Washington Wizards,111
New Orleans Pelicans,118,Toronto Raptors,122
Cleveland Cavaliers,113,Houston Rockets,117
Philadelphia 76ers,108,Sacramento Kings,109
Oklahoma City Thunder,94,Denver Nuggets,102
Atlanta Hawks,104,Detroit Pistons,111
Charlotte Hornets,87,Boston Celtics,90
Indiana Pacers,105,Chicago Bulls,87
Los Angeles Clippers,111,Oklahoma City Thunder,120
Orlando Magic,128,Phoenix Suns,112
Milwaukee Bucks,94,San Antonio Spurs,87
Miami Heat,84,Utah Jazz,74
Brooklyn Nets,101,Portland Trail Blazers,97
Los Angeles Clippers,103,New Orleans Pelicans,111
Atlanta Hawks,94,Washington Wizards,113
Memphis Grizzlies,96,Houston Rockets,111
Sacramento Kings,91,New York Knicks,118
Cleveland Cavaliers,111,Dallas Mavericks,104
Philadelphia 76ers,114,Golden State Warriors,135
Los Angeles Lakers,90,Milwaukee Bucks,98
Chicago Bulls,94,San Antonio Spurs,133
Orlando Magic,107,Denver Nuggets,125
Minnesota Timberwolves,110,Phoenix Suns,118
Brooklyn Nets,106,Utah Jazz,114
Toronto Raptors,94,Boston Celtics,95
Miami Heat,103,Detroit Pistons,112
Houston Rockets,118,Indiana Pacers,95
Dallas Mavericks,99,Oklahoma City Thunder,112
Sacramento Kings,92,Washington Wizards,110
Cleveland Cavaliers,104,New York Knicks,101
Memphis Grizzlies,103,Milwaukee Bucks,110
Atlanta Hawks,105,New Orleans Pelicans,106
Los Angeles Lakers,100,Phoenix Suns,93
Minnesota Timberwolves,109,Utah Jazz,98
Denver Nuggets,82,Portland Trail Blazers,99
Orlando Magic,100,Golden State Warriors,110
Philadelphia 76ers,109,Los Angeles Clippers,105
Boston Celtics,109,Brooklyn Nets,102
Toronto Raptors,129,Houston Rockets,113
San Antonio Spurs,97,Dallas Mavericks,91
Sacramento Kings,80,Atlanta Hawks,126
Washington Wizards,102,Miami Heat,93
Utah Jazz,101,New York Knicks,106
Cleveland Cavaliers,115,Charlotte Hornets,107
Indiana Pacers,116,Memphis Grizzlies,113
Detroit Pistons,95,Milwaukee Bucks,99
San Antonio Spurs,86,Minnesota Timberwolves,98
Toronto Raptors,125,New Orleans Pelicans,116
Chicago Bulls,79,Oklahoma City Thunder,92
Orlando Magic,94,Portland Trail Blazers,99
Philadelphia 76ers,115,Los Angeles Lakers,109
Golden State Warriors,88,Boston Celtics,92
Houston Rockets,142,Phoenix Suns,116
Detroit Pistons,100,Indiana Pacers,107
Miami Heat,91,Washington Wizards,88
Utah Jazz,107,Brooklyn Nets,118
Los Angeles Clippers,113,Cleveland Cavaliers,118
New York Knicks,84,Toronto Raptors,107
Charlotte Hornets,120,Chicago Bulls,123
Oklahoma City Thunder,101,San Antonio Spurs,104
Minnesota Timberwolves,111,Dallas Mavericks,87
Portland Trail Blazers,82,Sacramento Kings,86
New Orleans Pelicans,114,Denver Nuggets,146
Phoenix Suns,122,Los Angeles Lakers,113
Los Angeles Clippers,87,Charlotte Hornets,102
Utah Jazz,125,Orlando Magic,85
Boston Celtics,110,Atlanta Hawks,99
Golden State Warriors,124,Philadelphia 76ers,116
