Team1,Team1Score,Team2,Team2Score,Team1Win,Team1OFFRTG,Team1DEFRTG,Team1NETRTG,Team1AST%,Team1AST/TO,"Team1AST
RATIO",Team1OREB%,Team1DREB%,Team1REB%,Team1TOV%,Team1EFG%,Team1TS%,Team1PACE,Team1PIE,Team2OFFRTG,Team2DEFRTG,Team2NETRTG,Team2AST%,Team2AST/TO,"Team2AST
RATIO",Team2OREB%,Team2DREB%,Team2REB%,Team2TOV%,Team2EFG%,Team2TS%,Team2PACE,Team2PIE
Boston Celtics,99,Cleveland Cavaliers,102,0,103.9,98.1,5.9,58.2,1.45,16.2,27.2,75.8,51.4,15.1,49.8,53.9,97.21,54.5,105.8,111.6,-5.8,55.7,1.29,16.1,25.2,73.3,50.2,16.5,52.4,56.7,98.86,47.7
Houston Rockets,122,Golden State Warriors,121,1,106.4,105.1,1.3,58.2,1.28,16.0,25.1,76.1,50.3,16.6,51.7,56.2,98.06,49.3,117.5,110.9,6.5,69.4,1.75,21.3,28.0,68.0,50.4,17.1,60.3,63.9,102.94,55.8
Charlotte Hornets,90,Detroit Pistons,102,0,102.6,101.7,0.8,49.6,1.24,14.0,27.8,76.3,53.3,14.8,49.3,53.1,100.0,51.7,106.1,104.3,1.8,51.4,1.56,15.9,28.2,72.7,49.0,13.7,50.8,53.5,98.13,48.9
Brooklyn Nets,131,Indiana Pacers,140,0,107.3,111.0,-3.7,52.9,1.4,15.0,27.6,71.3,48.6,14.3,50.2,54.6,106.94,46.6,108.8,107.4,1.4,53.0,1.42,15.9,29.7,70.3,50.4,15.2,52.6,56.3,100.64,51.4
Miami Heat,109,Orlando Magic,116,0,105.5,108.8,-3.3,50.4,1.28,15.5,27.5,72.6,50.1,16.2,52.9,55.6,98.78,47.7,113.0,103.7,9.3,58.8,1.67,18.1,24.3,68.0,47.5,14.6,55.9,59.3,103.71,54.1
Philadelphia 76ers,115,Washington Wizards,120,0,103.1,106.3,-3.2,61.5,1.34,17.4,29.3,74.2,51.8,17.8,52.0,54.5,101.43,48.5,106.7,101.1,5.6,61.4,1.66,17.2,27.3,71.5,48.9,14.2,50.8,55.3,102.88,53.6
Milwaukee Bucks,108,Boston Celtics,100,1,104.8,106.1,-1.3,61.0,1.59,18.3,17.0,72.6,45.7,15.0,54.2,57.7,98.21,49.4,103.9,98.1,5.9,58.2,1.45,16.2,27.2,75.8,51.4,15.1,49.8,53.9,97.21,54.5
New Orleans Pelicans,91,Memphis Grizzlies,103,0,105.1,105.6,-0.5,59.9,1.43,17.4,24.6,75.9,50.6,16.3,53.1,56.4,103.5,50.0,104.1,99.3,4.9,54.4,1.44,14.8,23.7,71.7,48.4,13.3,48.8,54.3,96.43,53.6
Atlanta Hawks,117,Dallas Mavericks,111,1,99.7,106.7,-6.9,56.8,1.45,15.7,23.1,69.7,46.2,14.4,48.0,52.4,100.36,45.4,101.3,110.5,-9.2,59.4,1.36,15.9,24.1,73.6,47.5,15.6,49.9,53.5,96.94,44.0
Denver Nuggets,96,Utah Jazz,106,0,105.1,105.6,-0.6,58.0,1.51,16.7,29.3,72.3,50.4,15.2,50.7,53.8,98.93,49.5,100.6,97.9,2.7,60.7,1.19,17.4,24.3,70.8,48.5,19.6,52.9,55.9,95.21,53.4
